method_id	method_statement	source_path	symbol_or_lines	configuration_or_runtime	manuscript_locations
M-R29-GDN-OBSERVER-REPLAY	The internally preserved R29 CPU replay verifies and recomputes the same-process observer comparisons; it does not convert R29 into independent producer recapture.	evidence/r29_independent_observer/executed_source/r29_replay_independent_gdn_observer.py	replay_result;main	Formal result SHA 5d8edf442f9dedd1b3e7e2b338a324b2c30f9001df2fcbba5ce4f6ad2f42c0df; superseded for visible capture support	Internal evidence registry only
M-R33-IPC-WIRE-CONTRACT	The frozen R33 protocol deterministically binds 180 opaque slot ids to the two-request GDN owner grid and rejects any live request or slot whose fields differ from the exact tensor-only wire contract.	scripts/r33_ipc_capture_protocol.py	build_slot_manifest;validate_manifest;validate_live_request	Live request fields capture_id/schema_version/slot_tensors; slot fields slot_id/tensor; no phase, policy, completion, expectation, candidate-row, passed, or verdict field	Active narrow R33 support; exact manuscript locations assigned during revision
M-R33-IPC-OBSERVER	A spawn-created observer imports live CUDA tensor views, pins them against receiver-side ABA, and derives shape, stride, offset, storage extent, byte intervals, content digests, HMAC-obscured receiver-local identities, and all pair relations without importing QComem, ForkAudit, Transformers, vLLM, or model-runtime code.	scripts/r33_independent_capture_worker.py	RawObserver.capture;_byte_interval;_relation_vector;worker_main	Two observer processes; PyTorch CUDA-IPC reduction; 180 rows and 16,110 relations per capture; no serialized raw addresses or live verdict generation	Active narrow R33 support; exact manuscript locations assigned during revision
M-R33-IPC-EXECUTION	The R33 coordinator and formal runner construct one fresh shared-base and one fresh materialized N=2 policy cell, keep one observer process across each three-phase lifecycle, pause mutation until acknowledgement, execute both model steps, and archive pointer-free observer outputs plus kernel-ledger receipts.	scripts/{r33_out_of_process_capture.py,r33_run_h20_independent_capture.py}	OutOfProcessCaptureSession;bind_live_tensors;_run_policy_cell;run	Qwen/Qwen3.5-35B-A3B revision 59d61f3ce65a6d9863b86d2e96597125219dc754; one H20-3e; producer PID 1816; observer PIDs 2178/2384	Active narrow R33 support; Reproducibility and artifact map locations assigned during revision
M-R33-IPC-REPLAY-ACCEPTANCE	The frozen candidate-import-free CPU replay binds raw captures to the preregistered phase/policy plan and recomputes ownership and lifecycle verdicts; a separate read-only acceptance audit exactly reproduces the replay and additionally checks deterministic manifest/slot bindings, wire receipts, PIDs, model steps, and kernel ledgers without modifying raw or replay bytes.	{scripts/r33_replay_independent_capture.py,evidence/r33_independent_capture/formal_h20/independent_acceptance.json}	validate_capture;evaluate_phase;evaluate_cell;replay_result;verification;authorization	2/2 cells, 6/6 phases, 2/2 lifecycles, 1,080 rows, 96,660 relations; acceptance SHA d730793e9cf57fabeccdc5d0dba16ef7ba2da8b64c3e74c109bdb4da5134d1b0; raw remains pre-replay unauthorized	Active narrow R33 support; Reproducibility and artifact map locations assigned during revision
M-R33-HELDOUT-AUTHOR-FREEZE	A PDF-only fault designer froze five nonoverlapping fault mechanisms, their exact injection loci and payloads, matched-clean gates, and expected first failing predicates before executor preparation or candidate output existed.	{evidence/r33_fresh_faults/author_freeze/designer_input/round32_input.pdf,evidence/r33_fresh_faults/author_freeze/FAULTS.json,evidence/r33_fresh_faults/author_freeze/PROTOCOL.md}	source_audit;common_protocol;faults	Designer received only the archived prior 24-page PDF with SHA-256 a34f319550300d603db259a69c5685112009b2d0a3d92aa3096a121624fb6db3; no source, evidence, reviews, state, prior faults, or candidate output; fixed N=2 stack	Abstract; Introduction; Secs. Protocol and Results [label:sec:results]; Table [label:tab:r33-fresh-heldout]
M-R33-HELDOUT-EXECUTION	The frozen executor runs a matched clean case before each mutant, requires every clean gate, enables the full audit surface, follows the exact schedule, records eight outputs per case, and fails closed on incomplete execution, cleanup drift, or operational invalidity.	scripts/{r33_execute_fresh_faults.py,r33_launch_fresh_faults.sh}	discarded_warmup;run_case;run;main	Five H20 GPUs for five faults; one rank and GPU per pair; Attempt B changes only discarded-warmup alias cleanup disclosed before execution; no selective rerun	Sec. Results [label:sec:results]; Reproducibility Statement; Table [label:tab:cohorts]; Appendix artifact map [label:app:artifact]
M-R33-HELDOUT-REPLAY	A detached candidate-import-free replay validates each clean case and matched pair against the frozen expected-first predicate; aggregation requires all five pairs and emits a strict summary plus a terminal file ledger whose 208 entries are independently hash-verified.	{scripts/r33_fault_replay.py,scripts/r33_aggregate_fresh_faults.py,evidence/r33_fresh_faults/formal_h20/RESULT_VERIFICATION.json}	validate_clean_case;replay_pair;aggregate	5/5 clean gates pass; 5/5 mutants fail first at the frozen primary gate; 0 escape and 0 operational invalid; exact 208/208 file coverage; per-fault outcomes only, not a population detection rate	Sec. Results [label:sec:results]; Reproducibility Statement; Table [label:tab:r33-fresh-heldout]; Appendix artifact map [label:app:artifact]
M-R29-TWO-STREAM-EXECUTION	The bounded execution barrier-launches two request-local full-model calls from two host workers onto distinct CUDA streams, measures CUDA-event-bracketed full-call intervals, performs quiescent scrub/reclaim/reuse, and compares serialized and two-stream arms.	evidence/r29_true_concurrency/executed_source/r29_true_concurrent_lifecycle.py	interval_overlap_ms;concurrent_batch;scrub_and_reclaim;compare_arms;run_gpu	One H20; two host threads and streams; pre-cancel and post-reclaim phases; cancellation after synchronization	Abstract; Sec. Results [label:sec:results]; Table [label:tab:cohorts]; Appendix artifact map [label:app:artifact]
M-R29-TWO-STREAM-REPLAY	The independent replay recomputes both interval intersections and full-logit/token/state comparisons from frozen artifacts.	evidence/r29_true_concurrency/executed_source/r29_replay_true_concurrent_lifecycle.py	interval_overlap_ms;compare_logits;replay_result	Four lifecycle-indexed full-logit samples; 993,280 FP32 pairs; 20 KV layer pairs; 2 GDN aggregates	Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-R29-LOCAL-REPLAY-OVERHEAD	The preregistered local measurement counts the package footprint, executes one discarded warmup and five complete warm-cache replays, and reports exact wall/user/system summaries without changing package bytes.	evidence/r29_overhead/executed_source/measure_forkaudit_replay_overhead.py	package_footprint;run_once;median;main	Apple M4 Pro; 12 logical CPUs; 24 GiB; already-unpacked 630-file package	Abstract; Reproducibility Statement; Table [label:tab:cohorts]; Appendix artifact map [label:app:artifact]
M-R29-LIVE-OVERHEAD-EXECUTION	The paired live runner gives both arms the same ledger, recorded Python attention callable, and mandatory functional adapter checks; the baseline disables optional capture/observer/receipt/hash/persistence hooks, while the instrumented arm enables the complete path. It alternates order and request slot, synchronizes and resets peak allocation before timing, and persists complete capture/ownership receipts only in the instrumented arm.	evidence/r29_live_overhead/executed_source/r29_live_overhead.py	build_arm_ledger;run_baseline_arm;run_instrumented_arm;run_pair;summarize_measured_pairs;run_gpu	One Qwen3.5/H20 input and 16-token request step; one discarded warmup plus five measured pairs	Sec. Results [label:sec:results]; Table [label:tab:live-overhead]; Discussion/Limitations [label:sec:limitations]
M-R29-LIVE-OVERHEAD-REPLAY-V2	The disclosed candidate-import-free replay-v2 validates raw request-GDN witness schema, canonical 60-row order and digest, token formats, rebound relations, capture artifacts, paired semantics, and the measured summary without rerunning GPU work.	evidence/r29_live_overhead/executed_source/r29_replay_live_overhead.py	replay_request_gdn_raw_witness;verify_capture_artifact;compare_semantics;recompute_summary;replay_result	Immutable formal SHA 3ccf86e2233b560f003d965fdae05a8e3b0773e15976a05c8d70af881338bc22; replay-v2 SHA 7ede1b7edd0a6d0343ebc61c3742264af397922b2910eb4c39c8e658ad94cb4e	Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-R35-HISTORICAL-PROVENANCE	The retrospective design hash-binds the pre-discovery clean-path failure, pre-fix implementation, postexecution diagnosis, and later repair while explicitly refusing to import the operationally invalid attempt as a scientific result.	evidence/r35_historical_alias_regression/{design_decision.md,preregistration.json,static-execution-input.json,preexecution-freeze-receipt.json,preexecution-resource-amendment.json}	historical_first_failure;source_bindings;coordinate_classes;comparison_matrix	One historical integration defect; 3 archived input coordinates + 5 additional frozen inputs; no mutation; one fixed Qwen3.5/H20 stack	Abstract; Introduction; Secs. Protocol, Results, and Limitations [labels:sec:protocol,sec:results,sec:limitations]; Table [label:tab:r35-historical-alias]
M-R35-HISTORICAL-EXECUTION	The frozen runner constructs fresh historical-pre-fix, repaired-borrowed, and materialized-control lanes, archives pointer-free three-phase ownership evidence plus complete FP32 logits, separates operational validity from scientific outcome, and blocks the R29 fault executor.	scripts/r35_run_historical_alias_regression.py	load_runtime;build_case;run_lane;comparison;run	8 H20 ranks; N=2; one-token horizon; 24 fresh lanes and 24 FP32 sidecars; alternating frozen lane order; no statistical-independence claim	Sec. Results [label:sec:results]; Table [label:tab:r35-historical-alias]; Reproducibility Statement; Appendix cohort and artifact maps [labels:tab:cohorts,app:artifact]
M-R35-HISTORICAL-REPLAY	The candidate-import-free detached replay validates each rank's exact path set, sidecars, pointer-free storage relations, authenticated first gate, conventional comparison matrix, cleanup, provenance, and claim boundary without trusting producer classifications.	scripts/r35_replay_historical_alias_regression.py	validate_snapshot;validate_lane;replay_rank;main	8/8 operationally valid detached replays; 3 archived-coordinate + 5 additional-input cells; valid negatives would be retained	Sec. Results [label:sec:results]; Reproducibility Statement; Table [label:tab:r35-historical-alias]; Appendix artifact map [label:app:artifact]
M-R35-HISTORICAL-AGGREGATE	The fail-closed aggregator requires exactly eight detached replays, 24 unique nonces, 24 sidecars, fixed pair mappings, and separate archived/additional counts before evaluating the preregistered positive-headline rule.	scripts/r35_aggregate_historical_alias_regression.py	validate_replay;aggregate;main	All five component headline conditions and the registered positive rule pass; no population rate or statistical independence claimed	Abstract; Sec. Results [label:sec:results]; Reproducibility Statement; Conclusion; Table [label:tab:r35-historical-alias]
M-R40-DISPATCH-RECEIPT	The frozen recorder assigns each registered attention call a unique ID, binds the selected Triton kernel-cache artifact and compile configuration immediately before invocation, records selected-autotuner or exact no-autotuner state, and seals only after the original launcher returns normally on the assigned GPU and stream; GDN coverage is source-bound to mutually exclusive eager routes.	evidence/r40_primary_compiled_dispatch_v11/executed_source/r39_compiled_dispatch_receipts.py	DispatchReceiptRecorder;install_runtime_hooks;verify_payload;run_bound_negative_controls	Eight ranks; 96 configurations; 192 cells; 209,920 attention calls; 635,520 GDN calls; 224 bound negative controls	Abstract; Introduction; Secs. Contract, Protocol, and Results [labels:sec:contract,sec:protocol,sec:results]; Reproducibility Statement; Appendix dependency and artifact maps [labels:tab:dependency,app:artifact]
M-R40-DISPATCH-FINALIZE	The frozen finalizer rejects incomplete or inconsistent per-rank evidence, applies 28 bound negative controls per rank, and aggregates only eight complete rank replays into the declared-scope target-5 verdict.	evidence/r40_primary_compiled_dispatch_v11/executed_source/r39_primary_finalize.py	_bound_controls;main	Exactly eight ranks; 28 controls per rank; 224/224 rejected; formal_evidence_eligible=true	Sec. Results [label:sec:results]; Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-R40-DISPATCH-INTEGRATION-AUDIT	The local read-only integration checker verifies ten pinned artifact hashes, all 46 frozen source-ledger entries, byte identity of the ten-member minimal mirror archive, formal counts and verdicts, ledger closure for rank receipts and primary shards, and preservation of the immutable pre-run HOLD history.	scripts/validate_r40_compiled_dispatch_integration.py	verify_source_ledger;verify_minimal_mirror_archive;main	Local integrity/index verification only; no H20 rerun, model view, full remote raw replay, auditor-identity attestation, or device-side completion evidence	Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-R40-LIVE-BINDING-V29-CAPTURE	The frozen V29 hook enters only the preregistered N=8 shared-document/materialized-GDN ownership-witness cell, freezes live source references before the real builder, verifies the returned group, consumes an opaque passive direct-clone-lineage capability, checks the actual three-phase serializer products, and rewrites temporary artifact references to stable published primary/raw/rank-X paths for terminal reread.	evidence/r40_independent_live_binding_v29_result_pycache_whitelist_fix/executed_source/{r40_real_binding_hook.py,r40_real_binding.py,r40_passive_clone_lineage.py}	install_real_binding_hook;_published_phase_relative_path;ActualBindingVerifier;PassiveCloneLineageMode;PersistentSourceRegistry	Eight H20 ranks; selected N=8 cell; six preregistered coordinates; setup_pre_transition, post_transition, and post_generation; 144 selected rows, 12,960 storage rows, 3,840 direct clone edges, and 24 stable phase artifacts	Pending successor-TeX integration and fresh review
M-R40-LIVE-BINDING-V29-FINALIZE	The frozen V29 finalizer requires exactly eight rank-bound real-binding and global-absence receipts, reopens every published phase artifact by its stable result-root-relative path, checks exact schemas and hashes, and aggregates only the preregistered row, lineage, phase, and primary-call vectors.	evidence/r40_independent_live_binding_v29_result_pycache_whitelist_fix/executed_source/r40_finalize.py	finalize;main	Eight rank receipts and eight global-absence receipts; 24 stable phase artifacts; 96 primary calls observed; zero primary-memory hook events; output aggregate SHA-256 40e1b45d715a20222fff6d85344d8fbbd06dbeae6a7d0056462e5d90af53d4fa	Pending successor-TeX integration and fresh review
M-R40-LIVE-BINDING-V29-TERMINAL-CLOSURE	The V29 terminal profiler derives the exact redirected CPython result-cache files from the frozen primary code ledger, adds their parent closure, requires the full formal path whitelist, snapshots every node, publishes the terminal tree exclusively, and permits the root COMPLETE marker only after exact closure.	evidence/r40_independent_live_binding_v29_result_pycache_whitelist_fix/executed_source/r40_tree_closure.py	_expected_primary_pycache_paths;_profile_r40_formal;prepare_terminal_expectation;write_terminal_ledger;main	Exactly 31 authorized .cpython-311.pyc files and 13 nonroot parent directories; no adjacent source bytecode or writable source; empty formal/root COMPLETE; 1,367 final nodes; read-only post-run audit pass; V26--V28 excluded as inadmissible	Pending successor-TeX integration and fresh review
M-QCOMEM-EQ3-QUANTIZER	The Eq. 3 group quantizer partitions each floating tensor into fixed-size groups, takes the per-group minimum as bias m and maximum as u, sets s=(u-m)/(2^b-1), and stores q=clip(round((x-m)/s),0,2^b-1) as packed unsigned codes with BF16 scale and bias sidecars.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	quantize_residual (L98-L139); quantize_tensor (L186-L252); scales/biases cast at L136-L137 and L246-L247	group_size=64; b in {2,4,8,16}; SUPPORTED_BITS=(2,4,8,16) L13; degenerate groups with u==m are given s=1 rather than s=0 (L126, L234), a guard not stated in Eq. 3; the residual is grouped inside the hidden dimension (requires hidden%64==0) while cache leaves are grouped over the flattened element order with edge-value padding to a whole group (L224-L228)	Sec. 4.2 Eq. 3 [label:sec:write]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-EQ3-DEQUANTIZER	The Read-side dequantizer unpacks the unsigned codes, multiplies by the BF16 scale and adds the BF16 bias in FP32, then casts back; the b=16 arm bypasses arithmetic entirely.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	PackedResidual.dequantize (L78-L96); PackedTensor.dequantize (L163-L184); _unpack_unsigned (L37-L52)	Residual b=16 returns a zero-copy view by contract (L79-L85); cache-leaf b=16 always clones because kernels update leaves in place (L164-L172); PackedTensor.dequantize restores original_dtype, so an FP32 source leaf round-trips as FP32	Sec. 4.3 [label:sec:read]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-PACK-CODEC	Sub-byte codes are packed by shifting 8/b values into each uint8 and unpacked by shifting and masking; b=8 is stored as raw uint8.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	_pack_unsigned (L21-L34); _unpack_unsigned (L37-L52)	values_per_byte=8//bits; the packed dimension must fill complete bytes (L25-L26); at b=8 _pack_unsigned returns the input tensor unchanged, so its storage is the padded group buffer	Sec. 4.2 [label:sec:write]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-GROUP-64	The group size is 64 values and each group carries exactly one BF16 scale and one BF16 bias, so a b-bit group occupies 64b/8+4 bytes against 128 bytes for a BF16 group.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py and gpu/run_replay_diagnostic.py	qcomem_torch.py group_size default L102, L190, L402, L548; run_replay_diagnostic.py explicit group_size=64 at L531	68 B/group at Q8, 36 B at Q4, 20 B at Q2; verified per item against the archived shards: stored_residual_nbytes == ceil(n/64)*(64b/8+4) for 60/60 items and stored_lower_cache_nbytes matches the same identity summed over components for 180/180 item-policy pairs; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); the runner is reachable only through the launcher path recorded in evidence/qcomem_mixed_validation_60item_20260812d/submission/qcomem-mixed-validation-reasoning.yaml	Sec. 4.2 Eq. 3 [label:sec:write]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-EQ2-WRITE-ENUM	The Eq. 2 components are enumerated by reflection over the Transformers cache: each cache layer is walked through its dict/list/attribute graph, every floating-point tensor leaf is replaced by a PackedTensor at that layer's width, and non-floating leaves are cloned verbatim.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	quantize_transformers_cache (L396-L511); inner seed() (L420-L446); layer/bit resolution (L447-L479); per-layer and per-category error accumulation (L481-L503)	K/V, conv_states and recurrent_states are not named in code; they are reached generically. cache_layer_bits, when given, overrides attention_bits/linear_bits for the actual packing -- those two fields survive only as PackedCache metadata and as the attention/linear error-category split. A 7-entry vector is expanded to the 40 allocated Qwen3.5 layers by active_cache_layer_indices (L297-L313), inactive layers filled with 16.	Sec. 4.1 Eq. 2 [label:sec:decomposition]; Sec. 4.2 [label:sec:write]; Fig. 2a-2b [label:fig:qcomem-quantization-map]
M-QCOMEM-WRITE-PATH	The offline Write runs the document through layers [0,j), retains the layer-j boundary residual h_j^D and the lower-layer cache that the forward pass populated, and then quantizes both.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	TorchSplitCausalLM.write_lower_replay (L796-L820); run_to_depth (L789-L794); _run_layers (L757-L787); LowerReplayState.quantize (L541-L577)	One DynamicCache(config) per document (make_cache L657-L665); position_offset=0; document = chat-template prefix + truncated context; multi-document write via write_lower_replay_documents (L823-L845) is implemented but is not the path used by the 60-item panel	Sec. 4.2 [label:sec:write]; Fig. 2a [label:fig:qcomem-quantization-map]; Table 1 [label:tab:qcomem-validation60]
M-QCOMEM-READ-FORK	The online Read dequantizes the packed entry into a fresh request-local LowerReplayState: the boundary residual is dequantized and every packed cache leaf is materialized into independently owned storage by a memo-substituted deepcopy.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	PackedLowerReplayState.fork (L605-L618); PackedCache.dequantize (L368-L393); clone_cache (L315-L339)	This is a full materialize-per-query fork. In this Table 1/Table 2 PyTorch path there is no shared immutable document state, no borrowed recurrent base and no copy-on-write tail: every fork owns a private copy of all lower-layer state. The borrow/rebind/tail-COW discipline described in Sec. 4.3 belongs to the separate vLLM paged implementation (qcomem_vllm_paged_kernel.py), not to this path.	Sec. 4.3 Eq. 4 [label:sec:read]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-READ-LOWER-REPLAY	Query tokens traverse layers [0,j) against the forked lower cache, updating it in place and producing the query-side boundary residual at the document's position offset.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	TorchSplitCausalLM.continue_lower_replay (L847-L864); _layer_context (L674-L755)	position_offset=state.current_length; the same call is reused for each generated token during decoding	Sec. 4.3 [label:sec:read]
M-QCOMEM-READ-SUFFIX	The suffix is executed through layers [j,L) over a fresh suffix cache that is seeded with the stored document residual chunk first and the query residual chunk second, then final-position norm and lm_head give the logits.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	run_suffix_cached_last_logits (L898-L921); greedy_generate_replay (L1062-L1114); run_suffix_last_logits (L886-L896)	Document chunk at position_offset=0 then query chunk at position_offset=document_length; the two-chunk boundary is deliberate because Qwen3.5 GatedDeltaNet/conv state is sensitive to chunking (comment at L1073-L1080); a suffix DynamicCache is allocated per query	Sec. 4.3 [label:sec:read]; Sec. 5.3 [label:sec:latency]
M-QCOMEM-READ-GREEDY	Decoding is greedy argmax with an EOS stop; each accepted token is replayed through the lower layers and then through the suffix layers at the next position.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py and gpu/run_replay_diagnostic.py	qcomem_torch.py greedy_generate_replay (L1062-L1114), greedy_generate_dense (L978-L998), greedy_generate_full_prefix (L1118-L1139); run_replay_diagnostic.py _finish_incremental_generation (L217-L242), generate_replay_with_timing (L297-L349)	torch.argmax over the last-position logits; max_new_tokens 128 for Qasper and 32 for 2WikiMQA; TTFT is measured to the first logits and the timed variant mirrors greedy_generate_replay exactly; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); run_replay_diagnostic.py	Sec. 4.3 [label:sec:read]; Sec. 5.1 [label:sec:setup]; Sec. 5.3 [label:sec:latency]
M-QCOMEM-SPLIT-DEPTH	The split depth is j=7: it is carried in the configuration name replay-d7-*, parsed into ResolvedReplayConfig.depth, and validated against the 40-layer backbone.	gpu/run_replay_diagnostic.py	resolve_config (L365-L419, depth parsed at L370-L374); LAYER_VALIDATION_POLICIES (L116-L154); TorchSplitCausalLM._validate_depth (qcomem_torch.py L653-L655)	Layers 0-6 are retained; on Qwen3.5-35B-A3B layer 3 is the only full-attention layer below the split and layers 0,1,2,4,5,6 are GDN. The exactness smoke gate in launch_mixed_validation_8gpu.sh runs --depth 7 (L89). NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); neither run_replay_diagnostic.py nor launch_mixed_validation_8gpu.sh is archived here.	Sec. 4.1 [label:sec:decomposition]; Sec. 4.2 [label:sec:write]; Fig. 2a [label:fig:qcomem-quantization-map]
M-QCOMEM-TRUNCATION	Inputs are capped at 4,096 tokens by rendering the official LongBench-v1 prompt around a context marker and, when the context exceeds the remaining budget, keeping its first half and last half and dropping the middle; the document is prefix+context and the query is the template suffix.	evidence/round_04_rr2_package/executed_source/gpu/run_downstream.py	prompt_parts (L182-L215); truncation at L210-L213; DATASET_PROMPTS (L54-L82); DATASET_MAX_NEW_TOKENS (L53); generation_limit (L170-L171); load_samples (L116-L167)	max_input_tokens=4096; requires at least 256 context tokens; source indices 6-35 with 4-5 excluded and 30 items per dataset, all set in the recorded launch command in evidence/qcomem_mixed_validation_60item_20260812d/submission/qcomem-mixed-validation-reasoning.yaml	Sec. 5.1 [label:sec:setup]; Table 2 caption [label:tab:qcomem-tradeoff]
M-QCOMEM-POLICY-FROZEN	The frozen Q4/Q4/Q8 state-type policy is residual_bits=4 with the per-layer cache vector [8,8,8,4,8,8,8], i.e. Q4 on the single lower full-attention layer and Q8 on the six lower GDN layers.	gpu/run_replay_diagnostic.py	LAYER_VALIDATION_POLICIES['replay-d7-frozen-static'] (L141-L146); suite entry 'layer-validation' (L91-L99)	residual_bits=4, attention_bits=4, linear_bits=8, cache_layer_bits=(8,8,8,4,8,8,8); the identical vector is re-declared as the negative-control alias replay-d7-frozen-static-lora (L147-L152) and is preregistered in evidence/qcomem_mixed_validation_60item_20260812d/calibration/{layer_policy.json,receipt.json} field frozen_static; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); run_replay_diagnostic.py	Sec. 4.2 [label:sec:write]; Fig. 2b [label:fig:qcomem-quantization-map]; Table 1 [label:tab:qcomem-validation60]
M-QCOMEM-POLICY-SAMEMEM	The same-memory per-layer policy is residual_bits=4 with the per-layer cache vector [8,8,4,4,8,8,8], selected under a byte budget equal to the frozen policy's predicted size.	gpu/run_replay_diagnostic.py and gpu/aggregate_layer_sensitivity.py	run_replay_diagnostic.py LAYER_VALIDATION_POLICIES['replay-d7-same-memory-mixed'] (L153-L158); aggregate_layer_sensitivity.py optimize (L20-L50), budget construction (L80-L92)	attention_bits=4, linear_bits=None; budget_bytes=6,956,256 and predicted_bytes=6,677,728, i.e. 96.0 percent of the cap rather than an equal-memory point; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); neither file is archived here, but the selected vector and both byte figures are preserved in evidence/qcomem_mixed_validation_60item_20260812d/calibration/{layer_policy.json,receipt.json}	Sec. 4.2 [label:sec:write]; Table 1 [label:tab:qcomem-validation60]; Table 2 caption [label:tab:qcomem-tradeoff]
M-QCOMEM-POLICY-AGGRESSIVE	The aggressive mixed policy is residual_bits=4 with the per-layer cache vector [8,8,2,2,2,8,2], selected under a budget 25 percent below the frozen policy's predicted size.	gpu/run_replay_diagnostic.py and gpu/aggregate_layer_sensitivity.py	run_replay_diagnostic.py LAYER_VALIDATION_POLICIES['replay-d7-minus25-mixed'] (L159-L164); aggregate_layer_sensitivity.py budgets['minus_25_percent'] (L90)	attention_bits=2, linear_bits=None; budget_bytes=5,217,192 and predicted_bytes=5,198,432; the code name is minus25-mixed, the manuscript name is aggressive mixed; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); selected vector preserved in evidence/qcomem_mixed_validation_60item_20260812d/calibration/{layer_policy.json,receipt.json}	Sec. 4.2 [label:sec:write]; Table 1 [label:tab:qcomem-validation60]; Sec. 5.4 [label:sec:quality]
M-QCOMEM-POLICY-CALIBRATION	All three per-layer vectors come from one Pareto-pruned knapsack over per-component (residual plus cache.0-cache.6) byte/KL profiles measured on four held-out calibration prompts, minimizing summed mean first-token KL subject to a byte budget.	gpu/aggregate_layer_sensitivity.py and evidence/qcomem_mixed_validation_60item_20260812d/calibration/{layer_policy.json,receipt.json}	aggregate_layer_sensitivity.py pareto_prune (L9-L18), optimize (L20-L50), option_bytes (L53-L59), main (L61-L116); layer_policy.json components/policies; receipt.json policy_before_validation	4 calibration rows at source indices 4-5 per dataset, disjoint from validation indices 6-35; QuickSilver job 233909 / trial 1827870, completed 2026-08-11T15:52:45Z, layer_policy.json SHA-256 f34d4b89e9936c8d58d27df69268250f7985c9f4db1d9cef4d3041a06df36e87, recorded before the validation run; the receipt's own claim_boundary states the four-prompt search is too small to justify policy-optimality claims; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); aggregate_layer_sensitivity.py	Sec. 4.2 [label:sec:write]; Table 2 caption [label:tab:qcomem-tradeoff]; Sec. 5.1 [label:sec:setup]
M-QCOMEM-STORE-ACCOUNTANT	Store for the 60-item panel is stored_persistent_nbytes = PackedResidual.nbytes + PackedCache.nbytes, where the residual term sums numel*element_size over data/scales/biases and the cache term delegates to cache_nbytes, a reflective walk that sums untyped_storage().nbytes() over tensor leaves deduplicated by (device, data_ptr, storage_nbytes).	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py and gpu/run_replay_diagnostic.py	qcomem_torch.py tensor_nbytes (L15-L18), PackedResidual.nbytes (L63-L69), PackedTensor.nbytes (L156-L161), cache_nbytes (L266-L294), PackedCache.nbytes (L364-L366), PackedLowerReplayState.stored_nbytes (L588-L596), FullPrefixState.stored_nbytes (L627-L629); run_replay_diagnostic.py run_config record fields (L544-L554, L591-L593)	The two paths agree numerically for every quantized arm in this cohort: each packed leaf owns a freshly allocated, exactly sized storage, so neither the data_ptr dedup nor the storage-vs-numel difference removes or adds bytes. Independently re-derived per item for 60/60 items and 5/5 configurations from the archived shards. Excludes non-tensor/Python metadata, allocator pools, process/NVML memory, workspace and admission capacity. NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); run_replay_diagnostic.py	Sec. 5.1 [label:sec:denominators]; Sec. 5.2 [label:sec:memory]; Table 1 [label:tab:qcomem-validation60]
